------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
[  5] 11.0-12.0 sec  1004 KBytes  8.22 Mbits/sec
[  6] 11.0-12.0 sec   899 KBytes  7.37 Mbits/sec
[  4] 11.0-12.0 sec   781 KBytes  6.39 Mbits/sec
[ 11] 11.0-12.0 sec  1.12 MBytes  9.43 Mbits/sec
[  8] 11.0-12.0 sec  1.20 MBytes  10.0 Mbits/sec
[  7] 11.0-12.0 sec  8.01 MBytes  67.2 Mbits/sec
[ 10] 11.0-12.0 sec  1.20 MBytes  10.1 Mbits/sec
[  9] 11.0-12.0 sec  1.19 MBytes  9.96 Mbits/sec
[ 12] 11.0-12.0 sec  1.18 MBytes  9.87 Mbits/sec
[  6] 12.0-13.0 sec   891 KBytes  7.30 Mbits/sec
[ 10] 12.0-13.0 sec  1012 KBytes  8.29 Mbits/sec
[  9] 12.0-13.0 sec  1.02 MBytes  8.58 Mbits/sec
[ 11] 12.0-13.0 sec  1001 KBytes  8.20 Mbits/sec
[  8] 12.0-13.0 sec  1.30 MBytes  10.9 Mbits/sec
[  4] 12.0-13.0 sec   816 KBytes  6.68 Mbits/sec
[  5] 12.0-13.0 sec   954 KBytes  7.82 Mbits/sec
[ 12] 12.0-13.0 sec   901 KBytes  7.38 Mbits/sec
[  7] 12.0-13.0 sec  7.19 MBytes  60.3 Mbits/sec
