------------------------------------------------------------
Server listening on TCP port 5001
TCP window size:  128 KByte (WARNING: requested 64.0 KByte)
[ 12] 11.0-12.0 sec  65.0 KBytes   533 Kbits/sec
[ 11] 11.0-12.0 sec  62.2 KBytes   510 Kbits/sec
[  4] 12.0-13.0 sec  65.0 KBytes   533 Kbits/sec
[  5] 12.0-13.0 sec  65.0 KBytes   533 Kbits/sec
[  6] 12.0-13.0 sec  65.0 KBytes   533 Kbits/sec
[  7] 12.0-13.0 sec  65.0 KBytes   533 Kbits/sec
[  8] 12.0-13.0 sec  65.0 KBytes   533 Kbits/sec
[  9] 12.0-13.0 sec  65.0 KBytes   533 Kbits/sec
[ 10] 12.0-13.0 sec  65.0 KBytes   533 Kbits/sec
[ 12] 12.0-13.0 sec  65.0 KBytes   533 Kbits/sec
[ 11] 12.0-13.0 sec  62.2 KBytes   510 Kbits/sec
