num,norm_time,div_time,dup_time,opt_time,data_size,norm_attacker_time,norm_h3_time,norm_h4_time,norm_h5_time,norm_h6_time,norm_h7_time,norm_h8_time,norm_h9_time,norm_h10_time,div_attacker_time,div_h3_time,div_h4_time,div_h5_time,div_h6_time,div_h7_time,div_h8_time,div_h9_time,div_h10_time,dup_attacker_time,dup_h3_time,dup_h4_time,dup_h5_time,dup_h6_time,dup_h7_time,dup_h8_time,dup_h9_time,dup_h10_time,opt_attacker_time,opt_h3_time,opt_h4_time,opt_h5_time,opt_h6_time,opt_h7_time,opt_h8_time,opt_h9_time,opt_h10_time
42,42.1174139977,43.7695910931,44.413629055,43.7584679127,60000,32.400,40.270,39.759,40.829,41.555,32.442,40.586,35.209,37.552,22.507,41.465,41.877,43.274,38.903,36.129,37.014,37.679,41.164,37.389,43.759,38.892,41.400,43.145,42.130,30.645,43.952,37.295,25.050,35.136,43.335,38.227,42.401,43.203,42.483,39.543,42.271
43,47.0310959816,44.772507906,47.9129641056,40.5220680237,60000,45.770,46.423,41.163,36.512,44.046,42.778,46.533,42.180,46.209,24.069,41.649,42.600,44.233,31.918,40.018,42.903,44.245,39.585,38.971,39.491,46.251,46.013,44.130,47.426,44.319,40.234,41.976,14.252,37.774,39.939,33.835,36.011,38.340,32.750,38.013,39.830
44,44.2844839096,45.833343029,47.5543839931,37.494551897,60000,39.765,43.464,38.683,43.380,41.998,43.314,31.877,28.211,43.669,25.511,45.007,40.161,44.643,42.995,43.510,38.270,45.438,40.514,35.362,40.319,44.185,46.748,42.671,46.828,44.721,47.019,41.502,14.403,35.956,36.968,37.048,35.962,36.133,28.208,36.820,31.175
45,46.013450861,47.290006876,45.6371850967,39.5674409866,60000,41.050,36.136,36.787,38.393,42.559,45.472,41.710,39.645,43.092,30.326,45.116,46.333,44.824,43.228,42.485,46.803,40.067,38.336,43.396,41.801,27.862,37.827,39.448,44.872,41.456,42.851,44.978,13.587,37.194,35.760,39.165,34.402,38.750,33.166,36.397,37.488
46,32.290184021,48.3285000324,45.8233139515,40.6269700527,60000,29.810,30.006,27.896,31.686,30.933,31.452,30.281,31.248,30.806,30.796,39.172,46.165,47.876,43.525,46.561,46.513,43.881,43.495,44.041,43.104,33.262,35.113,45.195,42.179,45.330,44.024,38.677,15.007,40.236,39.676,33.718,39.892,38.150,38.248,35.615,36.303
47,44.9441568851,44.2774090767,49.6691448689,40.7094931602,60000,44.510,43.222,40.064,42.854,39.662,42.698,33.601,35.026,37.466,23.408,38.346,41.954,40.234,43.610,36.617,43.600,43.167,41.287,47.249,48.095,44.543,49.168,42.850,48.528,43.122,47.958,40.900,14.379,38.941,37.366,35.375,39.212,40.207,38.763,39.353,26.961
48,41.6831760406,45.7765910625,44.8369250298,38.5107429028,60000,38.155,41.157,31.212,40.543,29.101,40.148,35.241,40.884,37.905,26.049,43.674,42.647,37.571,42.508,42.952,45.309,45.227,41.654,42.900,38.514,43.427,44.422,39.192,38.322,39.033,40.091,43.361,14.390,38.219,37.223,34.318,37.806,36.403,36.055,36.295,35.707
49,43.9051148891,47.2376079559,47.2430729866,39.3695371151,60000,40.771,42.572,43.423,43.217,37.361,42.147,31.735,36.226,40.782,27.272,40.306,46.832,45.051,44.249,46.204,46.671,45.193,41.238,40.287,38.981,45.520,31.741,45.285,44.452,46.610,45.184,42.161,15.830,39.134,38.119,36.787,37.377,35.464,32.323,38.176,30.682
50,43.8460700512,43.2855188847,44.0542631149,40.0372798443,60000,37.954,41.452,41.165,43.344,40.192,39.516,42.168,39.120,24.583,26.063,42.481,42.753,42.303,37.104,38.808,42.681,40.246,33.132,35.212,33.899,42.743,40.431,43.754,37.334,42.975,39.087,42.874,14.746,36.880,36.938,35.810,39.361,37.982,38.807,39.534,37.289
51,45.240527153,45.7637221813,49.1639759541,41.2696859837,60000,38.652,43.551,39.242,44.703,42.316,42.488,40.388,28.696,41.066,27.178,40.078,38.317,44.928,45.083,36.040,43.447,43.152,43.705,47.032,46.131,41.367,37.660,48.287,48.677,46.339,42.901,47.555,14.579,37.910,38.524,38.726,37.535,38.051,34.979,37.588,40.745
