num,norm_time,div_time,dup_time,opt_time,data_size
63,58.5769209862,167.034548998,143.347403049,N/A,60000
64,70.7241389751,179.071527004,179.492894888,N/A,60000
65,52.603523016,131.315962076,150.326292992,N/A,60000
66,63.5487439632,138.182693005,191.531501055,N/A,60000
67,58.0918281078,179.065982103,186.253131866,N/A,60000
68,62.8120279312,179.831815004,186.260959148,N/A,60000
69,52.6130068302,143.120053768,192.12459898,N/A,60000
70,51.7231278419,144.166370153,155.354629993,N/A,60000
71,63.2306089401,144.680732965,150.591139078,N/A,60000
72,58.2681150436,143.435796976,143.20622611,N/A,60000
73,51.6986830235,156.029445887,155.621150017,N/A,60000
74,99.6924221516,137.357984066,150.037705183,N/A,60000
75,69.9983398914,180.263939857,138.448594093,N/A,60000
76,57.476804018,156.568511009,167.472190142,N/A,60000
77,58.2871220112,173.866518021,144.176499128,N/A,60000
78,51.710641861,180.015247107,179.864600897,N/A,60000
79,46.343914032,150.460586071,156.631366014,N/A,60000
80,58.0643270016,156.446720123,186.073581934,N/A,60000
81,64.0593819618,143.982086182,187.16093111,N/A,60000
82,44.9401838779,180.560968161,161.912157059,N/A,60000
83,51.9167649746,155.585747004,180.598046064,N/A,60000
84,52.5874459743,150.652127981,156.608840942,N/A,60000
85,58.7879798412,144.244220972,180.95758605,N/A,60000
86,71.0277991295,131.556908846,180.920838118,N/A,60000
87,41.6817741394,132.210714102,174.735125065,N/A,60000
88,51.7203681469,162.249269962,150.322381973,N/A,60000
89,46.5181388855,180.096786976,186.059269905,N/A,60000
90,51.4317800999,174.508538008,186.250462055,N/A,60000
91,64.454018116,181.120716095,157.382873058,N/A,60000
92,64.2733500004,168.213595152,163.337736845,N/A,60000
93,57.2176260948,150.878264904,175.142980099,N/A,60000
94,76.625125885,132.200618982,144.922591925,N/A,60000
95,62.70399189,144.531010151,180.883797169,N/A,60000
96,51.0391969681,150.488013983,188.81338191,N/A,60000
97,52.6502480507,150.329666138,149.256464005,N/A,60000
98,62.7518789768,132.776702881,192.496930122,N/A,60000
99,51.1810748577,169.31040597,168.139690876,N/A,60000
100,58.3731439114,138.046450138,174.557512999,N/A,60000
