------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
[ 10] 11.0-12.0 sec  1.65 MBytes  13.9 Mbits/sec
[ 12] 11.0-12.0 sec  1.81 MBytes  15.2 Mbits/sec
[  7] 12.0-13.0 sec  2.52 MBytes  21.1 Mbits/sec
[  5] 12.0-13.0 sec  2.33 MBytes  19.6 Mbits/sec
[  8] 12.0-13.0 sec  2.48 MBytes  20.8 Mbits/sec
[  9] 12.0-13.0 sec  2.06 MBytes  17.3 Mbits/sec
[  4] 12.0-13.0 sec  1.61 MBytes  13.5 Mbits/sec
[ 11] 12.0-13.0 sec  1.57 MBytes  13.2 Mbits/sec
[  6] 12.0-13.0 sec  1.14 MBytes  9.57 Mbits/sec
[ 10] 12.0-13.0 sec  1.56 MBytes  13.1 Mbits/sec
[ 12] 12.0-13.0 sec  1.77 MBytes  14.9 Mbits/sec
