------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 32.0 MByte (WARNING: requested 16.0 MByte)
------------------------------------------------------------
[  4] 37.0-38.0 sec  1.59 MBytes  13.4 Mbits/sec
[  6] 37.0-38.0 sec   430 KBytes  3.52 Mbits/sec
[  5] 37.0-38.0 sec   156 KBytes  1.27 Mbits/sec
[  8] 27.0-28.0 sec   584 KBytes  4.78 Mbits/sec
[  6] 38.0-39.0 sec   158 KBytes  1.30 Mbits/sec
[  8] 28.0-29.0 sec   148 KBytes  1.22 Mbits/sec
[  5] 38.0-39.0 sec   156 KBytes  1.27 Mbits/sec
[  4] 38.0-39.0 sec   277 KBytes  2.27 Mbits/sec
[  4] 39.0-40.0 sec  2.43 MBytes  20.4 Mbits/sec
[  6] 39.0-40.0 sec   150 KBytes  1.23 Mbits/sec
[  8] 29.0-30.0 sec   139 KBytes  1.14 Mbits/sec
[  5] 39.0-40.0 sec   158 KBytes  1.30 Mbits/sec
[  4] 40.0-41.0 sec   673 KBytes  5.51 Mbits/sec
[  6] 40.0-41.0 sec   153 KBytes  1.25 Mbits/sec
[  8] 30.0-31.0 sec   161 KBytes  1.32 Mbits/sec
[  5] 40.0-41.0 sec   158 KBytes  1.30 Mbits/sec
[  6] 41.0-42.0 sec   122 KBytes   996 Kbits/sec
[  5] 41.0-42.0 sec   144 KBytes  1.18 Mbits/sec
[  4] 41.0-42.0 sec   732 KBytes  6.00 Mbits/sec
[  8] 31.0-32.0 sec   158 KBytes  1.30 Mbits/sec
[  6] 42.0-43.0 sec   102 KBytes   834 Kbits/sec
[  5] 42.0-43.0 sec  90.5 KBytes   741 Kbits/sec
[  4] 42.0-43.0 sec   792 KBytes  6.49 Mbits/sec
[  8] 32.0-33.0 sec   136 KBytes  1.11 Mbits/sec
[  4] 43.0-44.0 sec   769 KBytes  6.30 Mbits/sec
[  5] 43.0-44.0 sec  82.0 KBytes   672 Kbits/sec
[  6] 43.0-44.0 sec   156 KBytes  1.27 Mbits/sec
[  8] 33.0-34.0 sec   175 KBytes  1.44 Mbits/sec
[  4] 44.0-45.0 sec   713 KBytes  5.84 Mbits/sec
[  6] 44.0-45.0 sec   153 KBytes  1.25 Mbits/sec
[  5] 44.0-45.0 sec   161 KBytes  1.32 Mbits/sec
[  8] 34.0-35.0 sec   187 KBytes  1.53 Mbits/sec
[  4] 45.0-46.0 sec   697 KBytes  5.71 Mbits/sec
[  6] 45.0-46.0 sec   150 KBytes  1.23 Mbits/sec
[  5] 45.0-46.0 sec   161 KBytes  1.32 Mbits/sec
[  8] 35.0-36.0 sec   187 KBytes  1.53 Mbits/sec
[  4] 46.0-47.0 sec   689 KBytes  5.64 Mbits/sec
[  6] 46.0-47.0 sec   156 KBytes  1.27 Mbits/sec
[  5] 46.0-47.0 sec   161 KBytes  1.32 Mbits/sec
[  4] 47.0-48.0 sec   704 KBytes  5.77 Mbits/sec
[  8] 36.0-37.0 sec   187 KBytes  1.53 Mbits/sec
[  6] 47.0-48.0 sec   167 KBytes  1.37 Mbits/sec
